Category,Crop,QueryType,QueryText,KCCAns
Fruits,Pomegranate,Plant Protection,OIL SPOT DISEASE?,SPRAY BORDO MIXURE @ 1%
Vegetables,Onion,Market Information,market rate onion ?,RS 500-1500/qtl onion pune market
Vegetables,Onion,Fertilizer Use and Availability,Fertilizer Dose –,Spray 00-52-34 30gm/15lit of water.
Fruits,Pomegranate,Plant Protection,attack of oily spot ?,spray bromofol 50gm + captan 500gm / 100 liter of water for pomegranate
Pulses,Pigeon pea (red gram/arhar/tur),Plant Protection,Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Vegetables,Cabbage,Market Information,"market rate of cabbage, onion, tomato",market rate = pune 1) cabbage - Rs 400 -700 per quintal 2) onion - Rs 500 - 1600 per quintal. 3) tomato - Rs 1000 - 2200 per quintal
Fruits,Pomegranate,Plant Protection,thrips on pomo?,spinosad 0.30mili/liter favarave
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Others,Others,Weather,weather info.,cloudy weather
Vegetables,Chillies,Plant Protection,Flower Drop?,Spray Planofix 5ml/15 Lit of Water.
Vegetables,Potato,Fertilizer Use and Availability,Fertilizer spray-,Spray 00-52-34 30gm/15lit of water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Attack of rust on sugarcane,Spray of Ridomil gold 30 gm / M 45 40 gm per pump on sugarcane
Others,Others,Weather,weather of pune ?,cloudy weather condition
Others,Others,Plant Protection,poltry subsidi,50% subsidy for poultry managemnt
Vegetables,Tomato,Plant Protection,Blight Attack?,Spray M-45 30 gm/15 Lit of Water.
Others,Others,Government Schemes,Asked about SMS deactivation?,Your SMS deactivation done sucessfully.
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Vegetables,Potato,Fertilizer Use and Availability,fertilizer dose potato ?,"50 kilo natra ,100 kilo palash , 100 kilo sfurad"
Fruits,Pomegranate,Plant Protection,Oil spot disease?,Spray Bordeaux mixture(1.0%). Spray with Streptocycline (0.025%) in combination with Copper oxychloride (0.25%) or Carbendazim (0.15%) at 15 days interval for 5-6 times starting from leaf initiation stage.
Fruits,Pomegranate,Fertilizer Use and Availability,fungs attak?,Blue copper - 40 gm/15 lit water .
Fruits,Pomegranate,Fertilizer Use and Availability,fungs attak?,Blue copper - 40 gm/15 lit water .
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,Shoot Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Vegetables,Brinjal,Fertilizer Use and Availability,root fungs attak?,Humic Acid 30ml/15 Lit of Water Drenching.Redomil Gold 30gm/15Lit of Water.
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,control of caterpillar attack,spraying of chloropayrifos 30 ml / 15 liter water
Sugar and Starch Crops,Sugarcane (Noble Cane),Plant Protection,stem borer attack?,Spray nuwan 20ml/15Lit of Water.
Vegetables,Tomato,Agriculture Mechanization,TOMATO VARIETIES,"TOMATO VARIETIES -ABINAV, NAINA"
Others,Others,Weather,Asking about Weather Forecast ?,Sunny day no possibility of rain fall
Sugar and Starch Crops,Sugarcane (Noble Cane),Weather,WEATHER INFORMATION,"CLOUDY WEATHER , NO RAIN CHANCES"
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Fiber Crops,Cotton (Kapas),Plant Protection,WEATHER IN PUNE,Cloudy weather Possibility of High to Medium Rainfall
Fruits,Banana,Government Schemes,Govt. Schemes?,guide to visit TAO.
Others,Others,Weather,Asking about Weather information?,Cloudy weather Possibility of High to Medium Rainfall
Others,Others,Plant Protection,OPEN PLOT HERBICIDE----,OPEN PLOT HERBICIDE---- MEERA -71
Others,Others,Weather,Weather Report?,"Partly cloudy, not Possibility of Rainfall"
Vegetables,Bitter Gourd,Plant Protection,Caterpillar Attack-,spray quinolphos 30 mili / 15 litre water
Fruits,Papaya,Fertilizer Use and Availability,Flower Drop ?,Spray Plano fix 5ml/15 Lit of Water.
Fruits,Banana,Plant Protection,SMS Activation-,Asked About SMS Activation?
Vegetables,Tomato,Bio-Pesticides and Bio-Fertilizers,TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP,SPRAY DIMETHOATE (ROGER) 10 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF SUCKING PEST ON TOMATO CROP
