Questions,KCCAns
Plant Protection: Bitter Gourd - BITTERGOARD VARIETIES,BITTERGOARD VARIETIES= HIRKANI
Plant Protection: Others - Farmer has enquired about weather,Partly cloudy and possibility with light rain.
Agriculture Mechanization: Sugarcane (Noble Cane) - minimum support price of sugarcane,minimum support price of sugarcane - 2200 rs /ton
Plant Protection: Sapota - fertilizer dose pf sapota ?,10 26 26 1 bag + micronutraient 1 bag /acar
Nutrient Management: Coconut - fruit drop in coconut ?,fruit drop in coconut-give boron 100gm / plant
Government Schemes: Others - ASKED ABOUT SMS ACTIVATION?,sms scheme is activated on your mobile number
Plant Protection: Bhindi(Okra/Ladysfinger) - Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Cotton (Kapas) - attck of suking pest on cotton,suking pest on cotton - SPRAY ALANTO 30 ML + bavistin 30 gm / 15 lit of water
Fishery Nutrition: Cold Water - contact number of fisheries?,not available.
Weather: Others - farmer had enquired about Weather information?,"Partly cloudy, possibility with light rain."
Agriculture Mechanization: Potato - DISEASE IN TOMATO ?,"Partly cloudy, no possible of rain ."
Plant Protection: Sugarcane (Noble Cane) - Attack of White Grub,Use Fertera 4 kg /acre / Regent 4 kg / acre.
Government Schemes: Others - Asked About SMS Activation?,Your SMS Registration process successfully completed.
Market Information: Onion - onion market rate,onion market rate -800-1000 rs / qit
Plant Protection: Sugarcane (Noble Cane) - weather in pune,cloudy and there are no possibility of rains.
Agriculture Mechanization: Fenugreek - variety of fenugreek,variety of fenugreek - kasuri methi
Weather: Cotton (Kapas) - weather condition ?,????? ??? ?? ???? ???? ??: 98° ????????: 29.7 ??? ?????: 72° ???: 54.1% ????????????: 6 ???
Plant Protection: Bhindi(Okra/Ladysfinger) - Attack of Caterpillar?,Spray Chloropyriphos 30ml/15 Lit of Water.
Fertilizer Use and Availability: Others - fertilizer ?,Bavistine 30gm + 19:19:19 30ml/15 Lit of Water Drenching.Spray virosol 30 gm /15lit of water.
Weather: Others - weather repoet?,cloudy weather no possibil;ity of rainfall.
Market Information: Soybean (bhat) - MARKET RATE OF SOYABEAN ?,Commodity :SOYABEAN Rate Per Unit in Rs. Date Variety APMC Unit Quantity HRate LRate Average 11/10/14 ---- NAGPUR QUINTAL 376 3348 2900 3124 --''-- ---- SHRIRAMPUR QUINTAL 8 3051 3051 3051 --''-- PIVLA GEVRAI QUINTAL 12 3000 3000 3000
Government Schemes: Others - FARMER HAS REQUESTED TO ACTIVATE SMS SERVICE ON HIS MOBILE.,Registration process successfully completed.
Nutrient Management: Pomegranate - fertilizer dose for pomegranate,apply 0:52:34 5 kg + boron 1 kg per acre for pomegranate
Government Schemes: Others - reshim sheti?,reshimala 100 % subcidy ahe
Weather: Others - Asking about weather forecast ?,"Partly cloudy, No Possibility of Rain"
Plant Protection: Potato - wiltin in potato,Drenching of bavistin 15 gm + humic acid 30 ml per pump
Weather: Others - weather forcast?,"Partly claudi ,no precipitation chances ???? ???????, ??????? ?????? ????"
Plant Protection: Cotton (Kapas) - ATTACK OF SUCKING PEST?,SPRAY RIJENT / CONFIDOR / ASTRA 5 GRAM+ 19:19:19 / 00:52:34 – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER
Plant Protection: Sorghum (Jowar/Great Millet) - Weather Report?.,"cloudy weather , chances of light no rainfall"
Plant Protection: Cotton (Kapas) - Attack of Thrips?,Spray Actra 5 gm/15 Liter of Water
Field Preparation: Cotton (Kapas) - Weather Report?.,"cloudy weather , chances of light no rainfall"
Plant Protection: Pomegranate - Fertilizer Dose ?,calcium nitrate 20 gm + boran 20 + microlla 30 ml /15 litar water
Plant Protection: Cotton (Kapas) - Sucking Pest?,Spray Actra 5 gm/15 Lit of Water.
Plant Protection: Sugarcane (Noble Cane) - Stem Borer Attack?,Spray Nuwan 20ml/15Lit of Water.
Plant Protection: Greater Yam - Attack of fungus?,Spray Bavistine 30gm + 191 91 9 60 gm + microlla 30 ml /15 Lit of Water Drenching.
Seeds and Planting Material: Others - VERIETIES?,"W Melon- Agastha, Sugar Beby, Black Magic, Sugar Manik."
Field Preparation: Bengal Gram (Gram/Chick Pea/Kabuli/Chana) - Asked About SMS Activation ?,Sms scheme is activated successfully
Plant Protection: Banana - for growth of banana?,spray 19:19:19 50 gram + microlla 30 mili in 15 lit of water
Plant Protection: Chillies - LEAF CURL,Spray fame 5ml/15 Lit of Water
Weather: Others - Weather forecast information?,"???? ???????, ????? ?? ?????? ???? cloudy atmosphere no possibility of rainfall."
Plant Protection: Tomato - flower drop in tomato?,Spray Plano fix 5ml/15 Lit of Water
Nutrient Management: Sugarcane (Noble Cane) - fertilizer dose for sugarcane at the of plantation ?,urea 76kg + singal supar phosphet 531 kg + potash 141 kg + nim pend 100 kg /hector
